Address(Dec)为十进制Modbus协议地址；Address(Hex)表示十六进制Modbus协议地址；Length表示字的长度；Access表示数据类型；,,,,,,
Address(Dec),Address(Hex),Length,DataType,Access,Name,Description
0,0x0000,1,UNS16,RO,BootVersion,Boot软件版本；
1,0x0001,1,UNS16,RO,SoftwareVersion,应用软件版本；
2,0x0002,1,UNS16,RO,HardwareCode,驱动板硬件代号；
3,0x0003,1,UNS8,RO,Rs485AuxProtocolVersion,RS485自定义协议版本；
4,0x0004,1,UNS8,RO,Rs485ModbusProtocolVersion,RS485-Modbus协议版本；
5,0x0005,1,UNS8,RO,CanAuxProtocolVersion,CAN自定义协议版本；
6,0x0006,1,UNS8,RO,CanOpenProtocolVersion,CANOPEN协议版本；
7,0x0007,1,UNS16,RO,UID[11],12字节唯一设备序列号；
8,0x0008,1,UNS16,RO,UID[11],12字节唯一设备序列号；
9,0x0009,1,UNS16,RO,UID[11],12字节唯一设备序列号；
10,0x000A,1,UNS16,RO,UID[11],12字节唯一设备序列号；
11,0x000B,1,UNS16,RO,UID[11],12字节唯一设备序列号；
12,0x000C,1,UNS16,RO,UID[11],12字节唯一设备序列号；
13,0x000D,1,UNS16,RO,ElecOffset,编码器校准得到的电角度偏移；
14,0x000E,1,UNS16,RO,MecOffset,机械角度偏移；
15,0x000F,1,UNS16,RO,Current_U_offset,U相电流校准得到的偏移；
16,0x0010,1,UNS16,RO,Current_V_offset,V相电流校准得到的偏移；
17,0x0011,1,UNS16,RO,Current_W_offset,W相电流校准得到的偏移；
,,,,,,
64,0x0040,1,UNS16,RO,MotorName[15],16字节电机名称(ASCII字符)；
65,0x0041,1,UNS16,RO,MotorName[15],16字节电机名称(ASCII字符)；
66,0x0042,1,UNS16,RO,MotorName[15],16字节电机名称(ASCII字符)；
67,0x0043,1,UNS16,RO,MotorName[15],16字节电机名称(ASCII字符)；
68,0x0044,1,UNS16,RO,MotorName[15],16字节电机名称(ASCII字符)；
69,0x0045,1,UNS16,RO,MotorName[15],16字节电机名称(ASCII字符)；
70,0x0046,1,UNS16,RO,MotorName[15],16字节电机名称(ASCII字符)；
71,0x0047,1,UNS16,RO,MotorName[15],16字节电机名称(ASCII字符)；
72,0x0048,1,UNS8,RO,MotorNpp,电机极对数
73,0x0049,2,FLOAT,RO,MotorRS,电机相电阻，单位Ω；（两相线之间的电阻除2）
74,,,,,,
75,0x004B,2,FLOAT,RO,MotorLS,电机相电感，单位mH；（两相线之间的电感除2）
76,,,,,,
77,0x004D,2,FLOAT,RO,MotorKt,电机力矩常数，单位N/m；
78,,,,,,
79,0x004F,1,UNS16,RO,MotorGR_Num,电机减速比分子；
